"id";"name";"d1";"d2";"d3";"d4";"d5"
1;"Apple,Inc.(aapl)";"115.19";"138.22";"200.65";"107.14";"87.17"
2;"MicrosoftCorp.(msft)";"88.24";"88.73";"74.24";"-63.02";"65.76"
3;"Amazon.com,Inc.(amzn)";"28.83";"25.34";"16.29";"18.56";"2.56"
4;"Alphabet,Inc.(googl)";"91.92";"31.95";"94.01";"-30.20";"67.32"
5;"Alphabet,Inc.(goog)";"91.92";"31.95";"94.01";"-30.20";"67.32"
6;"BancoSantander(México)SAInstitucióndeBancaMúltiple(bsmx)";"2.66";"2.52";"2.36";"2.27";"2.48"
7;"BerkshireHathaway,Inc.(brk.b)";"120.77";"-10.71";"326.56";"42.03";"43.55"
8;"BerkshireHathaway,Inc.(brk.a)";"120.77";"-10.71";"326.56";"42.03";"43.55"
9;"Facebook,Inc.(fb)";"51.06";"49.87";"42.66";"47.04";"38.90"
10;"Johnson&Johnson(jnj)";"39.34";"39.54";"43.67";"-107.13";"37.64"
11;"JPMorganChase&Co.(jpm)";"83.27";"82.59";"86.47";"42.09";"66.74"
12;"AlibabaGroupHoldingLtd.(baba)";"11.99";"10.44";"35.28";"26.10";"20.45"
13;"ExxonMobilCorp.(xom)";"39.86";"47.83";"84.09";"40.85";"32.64"
14;"FomentoEconomicoMexicanoSABdeCV(fmx)";"3.26";"5.55";"7,889.51";"-5.08";"18.79"
15;"Walmart,Inc.(wmt)";"-7.27";"22.76";"23.63";"19.04";"31.04"
16;"Visa,Inc.(v)";"28.45";"22.48";"25.14";"24.34";"20.66"
17;"BankofAmericaCorp.(bac)";"71.67";"67.84";"69.18";"25.20";"55.87"
18;"PfizerInc.(pfe)";"38.79";"35.70";"122.88";"28.58";"30.77"
19;"RoyalDutchShellPlc(rds.a)";"61.12";"60.71";"39.91";"42.38";"16.60"
20;"WellsFargo&Co.(wfc)";"60.86";"53.09";"53.27";"62.41";"46.54"
21;"RoyalDutchShellPlc(rds.b)";"61.12";"60.71";"39.91";"42.38";"16.60"
22;"UnitedHealthGroup,Inc.(unh)";"--";"--";"--";"--";"--"
23;"VerizonCommunications,Inc.(vz)";"50.62";"42.46";"46.66";"187.83";"37.36"
24;"NovartisAG(nvs)";"16.34";"77.44";"20.37";"19.81";"20.79"
25;"HDFCBankLtd.(hdb)";"--";"--";"--";"--";"--"
26;"Procter&GambleCo.(pg)";"32.11";"18.90";"25.40";"25.61";"28.70"
27;"IntelCorp.(intc)";"63.98";"50.06";"44.54";"-6.87";"45.16"
28;"ChevronCorp.(cvx)";"34.22";"36.59";"31.18";"19.86";"14.66"
29;"EnelChileSA(enic)";"9,141.25";"1.65";"2.58";"1.77";"1.02"
30;"CiscoSystems,Inc.(csco)";"38.03";"26.91";"-87.78";"23.94";"24.24"
31;"TheHomeDepot,Inc.(hd)";"35.06";"24.04";"17.79";"21.65";"26.72"
32;"TheCoca-ColaCo.(ko)";"22.89";"13.27";"-28.18";"14.44";"13.72"
33;"Mastercard,Inc.(ma)";"15.69";"14.92";"2.27";"14.30";"11.77"
34;"LloydsBankingGroupPlc(lyg)";"18.31";"8.67";"10.15";"2.47";"3.92"
35;"TheBoeingCo.(ba)";"23.63";"21.96";"24.74";"31.30";"18.51"
36;"Merck&Co.,Inc.(mrk)";"19.58";"17.16";"7.41";"-10.38";"-5,100.00"
37;"OracleCorp.(orcl)";"23.04";"34.08";"-39.87";"22.61";"22.57"
38;"TaiwanSemiconductorManufacturingCo.,Ltd.(tsm)";"24.29";"30.64";"32.97";"29.72";"21.93"
39;"ChinaMobileLtd.(chl)";"55.20";"36.00";"30.22";"41.29";"56.19"
40;"ToyotaMotorCorp.(tm)";"62.68";"46.40";"85.98";"43.37";"56.84"
41;"AT&T,Inc.(t)";"48.16";"52.48";"47.59";"191.36";"31.23"
42;"TheWaltDisneyCo.(dis)";"30.59";"31.15";"44.73";"18.65";"24.74"
43;"ComcastCorp.(cmcsa)";"28.96";"32.08";"31.76";"150.35";"26.83"
44;"Citigroup,Inc.(c)";"45.82";"44.52";"45.98";"-184.45";"40.84"
45;"PepsiCo,Inc.(pep)";"25.09";"18.30";"13.53";"-6.95";"21.56"
46;"HSBCHoldingsPlc(hsbc)";"46.20";"37.63";"3.30";"35.26";"43.36"
47;"ShirePlc(shpg)";"6.08";"5.54";"31.48";"5.55";"2.44"
48;"GrupoAvalAccionesyValoresSA(aval)";"4.01";"3.33";"2.32";"2.99";"2.61"
49;"EnelGeneraciónChileSA(eocc)";"1.07";"7,760.54";"1.17";"2.38";"1.35"
50;"Anheuser-BuschInBevSA/NV(bud)";"4.18";"26.67";"17.18";"20.87";"27.05"
51;"TotalSA(tot)";"36.04";"26.55";"7.35";"27.83";"20.58"
52;"PhilipMorrisInternational,Inc.(pm)";"23.36";"22.90";"16.44";"7.92";"20.41"
53;"McDonald'sCorp.(mcd)";"16.37";"14.96";"13.75";"6.99";"18.84"
54;"BPPlc(bp)";"28.38";"25.48";"6,385.99";"17.68";"1.58"
55;"PetroChinaCo.,Ltd.(ptr)";"34.70";"23.92";"10.43";"13.39";"15.08"
56;"SAPSE(sap)";"11.33";"8.57";"8.70";"22.14";"11.75"
57;"EniSpA(e)";"17.80";"14.97";"11.65";"24.91";"4.08"
58;"Amgen,Inc.(amgn)";"22.96";"23.11";"-42.64";"20.21";"21.51"
59;"Netflix,Inc.(nflx)";"4.03";"3.84";"2.90";"1.86";"1.30"
60;"AbbVie,Inc.(abbv)";"19.73";"27.71";"5,200.00";"16.23";"19.06"
61;"AltriaGroup,Inc.(mo)";"19.42";"18.74";"18.93";"49.61";"18.65"
62;"TelecomItaliaSpA(ti)";"4.49";"3.10";"1.86";"5.63";"4.80"
63;"NIKE,Inc.(nke)";"10.92";"11.37";"-9.21";"7.67";"9.50"
64;"MedtronicPlc(mdt)";"10.77";"14.65";"-13.92";"20.13";"10.09"
65;"DowDuPont,Inc.(dwdp)";"17.96";"11.47";"-11.59";"5.51";"13.53"
66;"EliLilly&Co.(lly)";"-2.60";"12.17";"-16.57";"5.56";"10.08"
67;"AdobeSystems,Inc.(adbe)";"6.66";"6.63";"5.83";"5.02";"4.20"
68;"AbbottLaboratories(abt)";"5.52";"7.14";"4.06";"-8.67";"5.58"
