"id";"name";"d1";"d2";"d3";"d4"
1;"Apple Inc. (AAPL)";"48351000";"45687000";"53394000";"39510000"
2;"Microsoft Corporation (MSFT)";"16571000";"25489000";"20539000";"12193000"
3;"Amazon.com, Inc. (AMZN)";"3033000";"2371000";"596000";"-241000"
4;"Alphabet Inc. (GOOGL)";"12662000";"19478000";"16348000";"14136000"
5;"Alphabet Inc. (GOOG)";"12662000";"19478000";"16348000";"14136000"
6;"Banco Santander (México), S.A., Institución de Banca Múltiple, Grupo Financiero Santander (BSMX)";"17645000";"15750000";"14186000";"14053000"
7;"Facebook, Inc. (FB)";"15934000";"10217000";"3688000";"2940000"
8;"Johnson & Johnson (JNJ)";"1300000";"16540000";"15409000";"16323000"
9;"JPMorgan Chase & Co. (JPM)";"24441000";"24733000";"24442000";"21745000"
10;"Diageo plc (DEO)";"3022000";"2662000";"2244000";"2381000"
11;"Alibaba Group Holding Limited (BABA)";"64093000";"43675000";"71460000";"24261000"
12;"Exxon Mobil Corporation (XOM)";"19710000";"7840000";"16150000";"32520000"
13;"Fomento Económico Mexicano, S.A.B. de C.V. (FMX)";"42408000";"21140000";"17683000";"16701000"
14;"Walmart Inc. (WMT)";"9862000";"13643000";"14694000";"16363000"
15;"Visa Inc. (V)";"6699000";"5991000";"6328000";"5438000"
16;"Bank of America Corporation (BAC)";"18232000";"17822000";"15910000";"5520000"
17;"Pfizer Inc. (PFE)";"21308000";"7215000";"6960000";"9135000"
18;"Wells Fargo & Company (WFC)";"22183000";"21938000";"22894000";"23057000"
19;"UnitedHealth Group Incorporated (UNH)";"10558000";"7017000";"5813000";"5619000"
20;"Verizon Communications Inc. (VZ)";"30101000";"13127000";"17879000";"9625000"
21;"Novartis AG (NVS)";"7703000";"6712000";"17783000";"10210000"
22;"HDFC Bank Limited (HDB)";"185100242";"152255743";"128013316";"106888910"
23;"The Procter & Gamble Company (PG)";"9750000";"15326000";"10508000";"7036000"
24;"Intel Corporation (INTC)";"9601000";"10316000";"11420000";"11704000"
25;"Barclays ETN+ FI Enhanced Glb Hi Yld B (FIYY)";"-1298000";"3324000";"911000";"528000"
26;"Chevron Corporation (CVX)";"9195000";"-497000";"4587000";"19241000"
27;"BHP Billiton plc (BBL)";"3705000";"5890000";"-6385000";"1910000"
28;"Enel Chile S.A. (ENIC)";"349382642";"381073345.2";"251838410";"162459039"
29;"Cisco Systems, Inc. (CSCO)";"110000";"9609000";"10739000";"8981000"
30;"The Home Depot, Inc. (HD)";"8630000";"7957000";"7009000";"6345000"
31;"The Coca-Cola Company (KO)";"1248000";"6527000";"7351000";"7098000"
32;"Mastercard Incorporated (MA)";"3915000";"4059000";"3808000";"3617000"
33;"Lloyds Banking Group plc (LYG)";"3807000";"2063000";"860000";"1412000"
34;"The Boeing Company (BA)";"8197000";"4895000";"5176000";"5446000"
35;"Merck & Co., Inc. (MRK)";"2394000";"3920000";"4442000";"11920000"
36;"Oracle Corporation (ORCL)";"3825000";"9335000";"8901000";"9938000"
37;"Taiwan Semiconductor Manufacturing Company Limited (TSM)";"344998300";"331713700";"302850900";"254301400"
38;"Barclays ETN+ FI Enhanced Europe 50 C (FFEU)";"-1298000";"3324000";"911000";"528000"
39;"National Grid plc (NGG)";"3550000";"7795000";"2591000";"2019000"
40;"China Mobile Limited (CHL)";"114279000";"108741000";"108539000";"109218000"
41;"Toyota Motor Corporation (TM)";"2493983000";"1831109000";"2312694000";"2173338000"
42;"AT&T Inc. (T)";"29450000";"12976000";"13345000";"6442000"
43;"The Walt Disney Company (DIS)";"8980000";"9391000";"8382000";"7501000"
44;"Comcast Corporation (CMCSA)";"22714000";"8695000";"8163000";"8380000"
45;"Citigroup Inc. (C)";"-6798000";"14912000";"17242000";"7310000"
46;"Unilever N.V. (UN)";"6053000";"5184000";"4909000";"5171000"
47;"PepsiCo, Inc. (PEP)";"4857000";"6329000";"5452000";"6513000"
48;"Unilever PLC (UL)";"6053000";"5184000";"4909000";"5171000"
49;"HSBC Holdings plc (HSBC)";"10798000";"2479000";"13522000";"13688000"
50;"Shire plc (SHPG)";"4271500";"327400";"1303400";"3405500"
51;"Grupo Aval Acciones Y Valores S.A. (AVAL)";"2169839000";"2364601000";"2041364000";"1815016000"
52;"Enel Generación Chile S.A. (EOCC)";"418453814";"472558428";"392868115";"276026798"
53;"Anheuser-Busch InBev SA/NV (BUD)";"7996000";"1241000";"8273000";"9216000"
54;"TOTAL S.A. (TOT)";"8631000";"6196000";"5087000";"4244000"
55;"Philip Morris International Inc. (PM)";"6035000";"6967000";"6873000";"7493000"
56;"McDonald's Corporation (MCD)";"5192300";"4686500";"4529300";"4757800"
57;"BP p.l.c. (BP)";"3389000";"115000";"-6482000";"3780000"
58;"PetroChina Company Limited (PTR)";"22798000";"7857000";"35517000";"107172000"
