name,d1,d2,d3,d4,d5,d1最近,,,,,
"IDEXXLaboratories,Inc.(idxx)","9,054.40",1.09,1.26,1.03,"8,567.70",830578.90%,-13.49%,22.33%,-99.99%,,
"ExpediaGroup,Inc.(expe)","7,800.00",4.07,1.87,"-10,000.00","2,500.00",191546.19%,117.65%,-100.02%,-500.00%,,
"MicrochipTechnology,Inc.(mchp)",3.11,1.09,"5,070.00",1.75,"4,920.00",185.32%,-99.98%,289614.29%,-99.96%,,
"ActivisionBlizzard,Inc.(atvi)",5.25,2.04,3.28,4.47,6.5,157.35%,-37.80%,-26.62%,-31.23%,,
Trip.comGroupLtd.(tcom),2.83,1.17,"-5,890.65",6.8,-1.79,141.88%,-100.02%,-86727.21%,-479.89%,,
"lululemonathletica,Inc.(lulu)",2.98,1.26,1.25,"9,660.30",2.18,136.51%,0.80%,-99.99%,443033.03%,,
"VeriSign,Inc.(vrsn)",3.34,1.48,1.54,1.48,1.63,125.68%,-3.90%,4.05%,-9.20%,,
"AlexionPharmaceuticals,Inc.(alxn)",8.89,4.68,4.6,5.88,"-4,500.00",89.96%,1.74%,-21.77%,-100.13%,,
"QUALCOMM,Inc.(qcom)",9.25,5.06,21.49,6.63,10.68,82.81%,-76.45%,224.13%,-37.92%,,
ASMLHoldingNV(asml),12.63,6.97,5.35,4.04,8.99,81.21%,30.28%,32.43%,-55.06%,,
"eBay,Inc.(ebay)",5.58,3.1,4.03,5.21,7.63,80.00%,-23.08%,-22.65%,-31.72%,,
"CharterCommunications,Inc.(chtr)",8.22,4.67,3.86,3.17,3.6,76.02%,20.98%,21.77%,-11.94%,,
"UltaBeauty,Inc.(ulta)",2.23,1.3,1.61,1.92,2.15,71.54%,-19.25%,-16.15%,-10.70%,,
"Apple,Inc.(aapl)",222.36,136.86,100.44,115.61,199.65,62.47%,36.26%,-13.12%,-42.09%,,
"Amazon.com,Inc.(amzn)",32.68,21.34,26.25,35.61,30.27,53.14%,-18.70%,-26.28%,17.64%,,
"Alphabet,Inc.(goog)",106.71,70.68,99.47,66.57,89.48,50.98%,-28.94%,49.42%,-25.60%,,
"Alphabet,Inc.(googl)",106.71,70.68,99.47,66.57,89.48,50.98%,-28.94%,49.42%,-25.60%,,
"AdvancedMicroDevices,Inc.(amd)",1.7,1.2,"3,500.00","1,600.00","3,800.00",41.67%,-99.97%,118.75%,-57.89%,,
"Paychex,Inc.(payx)",3.55,2.59,2.64,2.3,3.25,37.07%,-1.89%,14.78%,-29.23%,,
"AppliedMaterials,Inc.(amat)",8.92,6.98,5.71,6.66,7.71,27.79%,22.24%,-14.26%,-13.62%,,
